---------------------------------------|---------|----------|---------|---------|-------------------
File                                   | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
---------------------------------------|---------|----------|---------|---------|-------------------
All files                              |   50.96 |    33.78 |   43.42 |   48.09 |                   
 common/src/db-access                  |   93.75 |       50 |     100 |     100 |                   
  Transformer.ts                       |     100 |      100 |     100 |     100 |                   
  initDataSource.ts                    |    92.3 |       50 |     100 |     100 | 10-24             
 common/src/db-access/entity           |   99.26 |    55.55 |    98.5 |   99.32 |                   
  AccountEntity.ts                     |     100 |      100 |     100 |     100 |                   
  BaseEntity.ts                        |     100 |      100 |     100 |     100 |                   
  BenchmarkEntity.ts                   |     100 |      100 |     100 |     100 |                   
  BenchmarkHistory.ts                  |     100 |      100 |     100 |     100 |                   
  CommodityEntity.ts                   |     100 |      100 |     100 |     100 |                   
  CommodityStatus.ts                   |     100 |      100 |     100 |     100 |                   
  ContactEntity.ts                     |     100 |      100 |     100 |     100 |                   
  CustomerEntity.ts                    |   94.91 |      100 |   84.21 |     100 |                   
  CustomerStatus.ts                    |     100 |      100 |     100 |     100 |                   
  DbEnums.ts                           |     100 |      100 |     100 |     100 |                   
  DeviceEntity.ts                      |     100 |      100 |     100 |     100 |                   
  ErpSettingsEntity.ts                 |     100 |      100 |     100 |     100 |                   
  ErpSyncBatchEntity.ts                |     100 |      100 |     100 |     100 |                   
  ErpToolCredsEntity.ts                |     100 |      100 |     100 |     100 |                   
  ErpToolSyncStatusEntity.ts           |     100 |      100 |     100 |     100 |                   
  FinishedGoodCommoditiesVw.ts         |     100 |      100 |     100 |     100 |                   
  FinishedGoodEntity.ts                |     100 |      100 |     100 |     100 |                   
  FinishedGoodNoteEntity.ts            |     100 |      100 |     100 |     100 |                   
  FinishedGoodStatusEntity.ts          |     100 |      100 |     100 |     100 |                   
  GsUserEntity.ts                      |     100 |      100 |     100 |     100 |                   
  InboundTicketEntity.ts               |   90.27 |        0 |   94.11 |   87.93 | 157-196,202-204   
  InboundTicketNote.ts                 |     100 |      100 |     100 |     100 |                   
  InboundTicketStatus.ts               |     100 |      100 |     100 |     100 |                   
  IntegrationConfigEntity.ts           |     100 |      100 |     100 |     100 |                   
  InventoryByMaterialTypeVw.ts         |     100 |      100 |     100 |     100 |                   
  InventoryFinishedGoodVw.ts           |     100 |      100 |     100 |     100 |                   
  InventoryPackingListVw.ts            |     100 |      100 |     100 |     100 |                   
  InventoryRegradeVw.ts                |     100 |      100 |     100 |     100 |                   
  InvoiceEntity.ts                     |     100 |      100 |     100 |     100 |                   
  InvoicePaymentEntity.ts              |     100 |      100 |     100 |     100 |                   
  InvoiceStatus.ts                     |     100 |      100 |     100 |     100 |                   
